id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,odp_meninggal,pdp,masih_dirawat,pulang_dan_sehat,pdp_meninggal,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,12383,2,12322,59,5326,5,3761,1560,1690,172,377,28,1113,
LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,14966,202,14752,12,3425,151,3196,78,1946,20,1735,77,114,
3173061005,DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,596,6,589,1,84,2,76,6,53,4,43,4,2,
3174071006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,23,0,23,0,18,1,17,0,16,0,16,0,0,
3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,758,3,754,1,76,5,68,3,79,1,50,7,21,
3172061001,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,607,2,604,1,181,2,177,2,46,0,34,7,5,
3173021003,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,331,0,331,0,46,1,43,2,94,2,69,2,21,
3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,337,4,333,0,64,2,60,2,60,2,40,7,11,
3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,1065,4,1059,2,96,2,91,3,58,1,44,4,9,
3174051002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,511,5,506,0,64,6,56,2,51,4,33,9,5,
3175071004,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,312,4,308,0,34,1,33,0,69,3,55,4,7,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,564,1,563,0,81,2,75,4,43,4,25,3,11,
3173081004,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,206,2,204,0,52,0,50,2,45,0,34,3,8,
3174011003,DKI JAKARTA,JAKARTA SELATAN,TEBET,MENTENG DALAM,314,0,311,3,38,1,34,3,34,1,26,3,4,
3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,586,3,583,0,148,2,144,2,58,3,43,5,7,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,411,0,411,0,24,1,22,1,22,0,17,2,3,
3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,90,2,88,0,16,2,12,2,31,1,21,2,7,
3172021006,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,1017,4,1013,0,158,2,155,1,176,3,150,11,12,
3172011005,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,224,0,224,0,51,1,46,4,52,4,38,5,5,
3174091005,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,183,4,179,0,51,0,50,1,31,2,16,2,11,
